,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
49,5474,111,2.0,63.791065,40.757587,10.0,16,22.0,2006,0.09344257,B,B,23,4635,5,3300.0,2,4,B,91594.31
50,9629,124,3.0,78.27522,58.330875,6.0,9,9.0,1953,0.16909109,B,B,19,3856,10,,2,5,B,387904.12
51,12774,157,2.0,62.74751,28.196814,8.0,5,10.0,1956,0.0,B,B,30,7538,87,4702.0,5,5,B,555661.94
52,15626,138,1.0,36.321884,21.862421,5.0,2,9.0,1973,0.19578105,B,B,23,5212,6,,3,2,B,165911.16
53,9480,37,2.0,57.556103,32.83074,8.0,6,16.0,1982,0.23220508,B,B,24,4860,1,80.0,0,3,B,254688.11
54,1414,147,1.0,37.83656,21.20842,9.0,11,14.0,1973,0.31980935,B,B,25,4756,16,2857.0,5,8,B,198633.62
55,1849,66,1.0,42.019794,21.147371,13.0,4,5.0,1965,0.11162739,B,B,50,12238,8,1970.0,2,3,B,180450.69
56,16780,42,1.0,40.893528,18.251862,10.0,4,24.0,2007,0.15824905,B,B,21,5731,0,,1,0,B,171531.56
57,16752,1,3.0,79.078674,,1.0,2,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,200932.34
58,2304,94,1.0,35.562393,17.526726,7.0,8,9.0,1972,0.28279766,B,B,33,8667,2,,0,6,B,170703.88
59,6846,27,1.0,52.084435,,6.0,13,17.0,1977,0.072157584,B,B,2,629,1,,0,0,A,155463.1
60,10593,41,3.0,87.924965,44.984825,12.0,13,14.0,2013,0.17505486,B,B,36,10055,3,,1,0,B,202696.05
61,2556,23,1.0,43.04351,,1.0,8,25.0,2014,0.07577875,B,B,6,1437,3,,0,2,B,124902.555
62,3849,23,1.0,44.669037,,1.0,5,17.0,1977,0.014072961,B,B,2,475,0,,0,0,B,80356.32
63,11630,58,1.0,30.961868,15.168644,6.0,3,12.0,1973,0.31019914,B,B,11,2748,1,,0,0,B,117941.29
64,3992,1,3.0,87.20062,87.730225,0.0,21,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B,300180.38
65,8364,63,1.0,41.27554,23.064577,8.0,4,12.0,1983,0.23861714,B,B,26,3889,6,705.0,3,6,B,181842.47
66,14385,75,1.0,47.54452,21.484713,8.0,7,17.0,1979,0.050755568,B,B,24,5469,1,145.0,0,1,B,250434.88
67,5661,147,3.0,75.49492,49.028854,7.0,7,12.0,1966,0.31980935,B,B,25,4756,16,2857.0,5,8,B,422637.78
68,3157,81,4.0,90.620476,62.283245,8.0,7,10.0,1960,0.31980935,B,B,25,4756,16,2857.0,5,8,B,526817.56
69,3585,110,2.0,55.681778,32.434452,8.0,12,12.0,1995,0.03349371,B,B,66,10573,1,1322.0,3,8,B,223528.98
70,3524,6,1.0,38.50641,,1.0,9,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,128959.85
71,13726,27,1.0,47.55769,22.682322,1.0,16,1.0,1977,0.017647052,B,B,2,469,0,,0,0,B,130190.64
72,5643,9,1.0,36.470085,20.802645,9.0,5,12.0,2008,0.16153175,B,B,25,5648,1,30.0,2,4,B,144224.83
73,1140,45,1.0,40.17819,19.442492,9.0,10,12.0,1968,0.014423114,B,B,19,3806,4,,0,3,B,211360.7
74,9393,23,1.0,37.36523,,1.0,3,3.0,1977,0.03465608,B,B,0,168,0,,0,0,B,91945.05
75,7381,5,2.0,45.088108,27.268515,6.0,3,9.0,1971,0.15081754,B,B,16,3433,4,2643.0,4,5,B,228628.22
76,11983,5,2.0,56.581825,30.242432,8.0,6,14.0,1977,0.15081754,B,B,16,3433,4,2643.0,4,5,B,298194.5
77,11771,45,1.0,38.467278,39.624493,1.0,11,9.0,1977,0.19578105,B,B,23,5212,6,,3,2,B,247440.53
78,16429,57,3.0,64.86981,63.554962,8.0,6,9.0,1977,0.13321534,B,B,49,11395,3,1406.0,3,4,A,291872.4
79,2286,99,2.0,47.304764,28.737215,6.0,9,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B,188832.7
80,13235,77,1.0,38.505417,25.636265,7.0,12,12.0,1977,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,174776.03
81,7285,5,1.0,34.185516,24.583012,5.0,2,5.0,1968,0.15081754,B,B,16,3433,4,2643.0,4,5,B,144605.5
82,11919,11,1.0,40.531647,21.96702,10.0,12,16.0,1982,0.000169676,B,B,36,5992,0,,1,1,B,165302.12
83,11507,61,2.0,52.67851,33.434063,8.0,12,17.0,2003,0.30032253,B,B,52,10311,6,,1,9,B,295873.56
84,4758,23,2.0,65.19411,,1.0,4,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,158591.8
85,897,111,4.0,98.30504,63.952274,14.0,3,17.0,2003,0.13564979,B,B,46,7960,6,350.0,3,11,B,474500.6
86,10807,120,3.0,58.964245,39.540783,6.0,6,9.0,1976,0.34107193,B,B,27,5664,48,2300.0,3,11,B,86480.95
87,12537,1,1.0,45.73444,,1.0,21,4.0,1977,0.007122317,B,B,1,264,0,,0,1,B,179032.67
88,4439,121,2.0,59.840015,,0.0,22,1.0,1977,0.21251535,B,B,19,3293,16,628.0,3,7,B,305673.94
89,13616,27,1.0,37.340508,37.02463,10.0,8,17.0,2017,0.21140121,B,B,9,1892,0,,0,1,B,108540.77
90,16163,101,2.0,51.885105,34.0249,9.0,9,12.0,1968,0.22582495,A,B,41,6558,7,1548.0,3,2,B,230372.66
91,12715,101,2.0,44.832123,27.250563,5.0,4,5.0,1964,0.22582495,A,B,41,6558,7,1548.0,3,2,B,177535.38
92,2357,32,1.0,31.82848,15.222566,5.0,5,5.0,1972,0.13564979,B,B,46,7960,6,350.0,3,11,B,170343.75
93,15484,21,1.0,41.49834,22.39863,8.0,3,14.0,1991,0.19448927,B,B,47,8004,3,125.0,3,5,B,165446.8
94,12339,23,1.0,47.485584,,0.0,5,3.0,1977,0.03465608,B,B,0,168,0,,0,0,B,126602.67
95,16695,23,1.0,36.931545,,1.0,8,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,123225.91
96,14717,21,1.0,37.572872,23.111217,6.0,5,6.0,1962,0.034331497,B,B,25,5487,3,,0,4,B,178032.89
97,13145,58,2.0,49.871635,31.127615,6.0,3,9.0,1969,0.14890389,B,B,9,1952,1,1430.0,3,2,B,152555.77
98,7028,111,2.0,54.3929,30.792076,8.0,15,17.0,1990,0.0,B,B,36,6714,2,2672.0,0,2,B,214439.61
99,6392,27,3.0,49.029747,,0.0,17,25.0,2016,0.072157584,B,B,2,629,1,,0,0,A,138397.36
100,13343,74,2.0,79.93767,82.931595,1.0,8,21.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,226808.75
101,15456,140,2.0,47.781597,30.78001,5.0,4,5.0,1960,0.23861714,B,B,26,3889,6,705.0,3,6,B,204610.66
102,12734,23,3.0,79.54107,46.146408,12.0,7,17.0,2011,0.07577875,B,B,6,1437,3,,0,2,B,145255.44
103,2497,6,3.0,80.98308,49.866714,12.0,17,17.0,2011,0.24320452,B,B,5,1564,0,540.0,0,0,B,212387.36
104,4496,7,3.0,73.44185,46.42189,9.0,8,16.0,2012,0.13061781,B,B,39,10418,9,900.0,1,9,B,199179.72
105,9544,46,1.0,36.136757,21.140934,5.0,3,5.0,1968,0.0,B,B,47,11319,0,1145.0,3,5,B,173393.08
106,12997,4,3.0,75.12839,52.754246,8.0,9,9.0,1956,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B,574631.3
107,13189,11,2.0,46.83268,28.484892,6.0,7,9.0,1974,0.000169676,B,B,36,5992,0,,1,1,B,210486.27
108,8871,91,1.0,31.691656,20.108517,5.0,1,5.0,1965,0.000995363,B,B,42,7651,1,,1,5,B,140029.72
109,14497,30,3.0,80.820816,,10.0,3,3.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B,187612.02
110,8746,0,3.0,65.756256,46.31415,6.0,2,9.0,1969,0.31980935,B,B,25,4756,16,2857.0,5,8,B,293122.53
111,13875,20,1.0,28.438793,32.514023,6.0,6,10.0,2014,0.019508796,B,B,37,7687,11,176.0,5,5,B,199248.11
112,12321,33,2.0,44.417236,,0.0,7,5.0,1977,0.23610845,B,B,16,3893,27,,3,10,B,240274.8
113,5720,27,2.0,66.57716,,1.0,10,17.0,1977,0.017647052,B,B,2,469,0,,0,0,B,187907.06
114,10773,77,3.0,79.19582,44.421062,10.0,16,17.0,1984,0.29820457,B,B,16,4048,3,,1,3,B,322048.44
115,13232,23,2.0,61.422596,60.24293,1.0,14,25.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,162052.06
116,5594,23,3.0,105.479256,,1.0,16,25.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,245260.23
117,7944,23,2.0,62.48526,,1.0,23,25.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,166176.56
118,2881,85,3.0,72.12006,47.896263,10.0,9,16.0,1982,0.03717782,B,B,52,11217,1,2300.0,1,7,B,290525.22
119,5112,6,2.0,63.59174,0.79553944,10.0,17,17.0,2014,0.24320452,B,B,5,1564,0,540.0,0,0,B,174742.0
120,12709,6,2.0,65.22453,,0.0,15,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,173654.55
121,16102,17,1.0,38.595783,19.418503,10.0,14,12.0,1966,0.0,B,B,18,3374,5,620.0,1,2,B,202533.97
122,11018,56,3.0,67.424515,42.972652,8.0,2,16.0,1982,0.035145268,B,B,42,9292,3,2620.0,0,3,B,334325.66
123,739,84,4.0,102.52227,74.513466,9.0,4,5.0,1961,0.14966637,B,B,22,4789,2,4087.0,4,1,B,415574.12
124,14634,137,3.0,72.000755,47.96743,7.0,17,16.0,1981,0.20014681,B,B,23,3975,8,770.0,2,0,B,381975.5
125,6119,67,2.0,48.426216,28.110004,5.0,3,9.0,1978,0.007720282,B,B,38,4788,2,,0,4,B,219765.03
126,1037,48,3.0,62.346363,46.483364,6.0,2,12.0,1982,0.041124634,B,B,46,9515,5,,1,10,B,296954.44
127,3794,143,2.0,53.069706,30.643959,10.0,7,16.0,1978,0.049863387,B,B,18,3746,9,75.0,3,1,B,372616.47
128,5041,66,1.0,41.678417,23.574213,9.0,5,14.0,1973,0.11162739,B,B,50,12238,8,1970.0,2,3,B,208885.9
129,810,11,1.0,40.27665,20.699972,7.0,9,9.0,1979,0.03869299,B,B,28,6533,1,1015.0,2,5,B,157759.03
130,8800,23,1.0,29.706032,,0.0,5,12.0,1977,0.03465608,B,B,0,168,0,,0,0,B,60502.582
131,15914,63,2.0,43.980145,29.57674,5.0,6,12.0,1971,0.23861714,B,B,26,3889,6,705.0,3,6,B,254391.27
132,8261,57,1.0,40.945755,22.586388,9.0,8,16.0,1979,0.13321534,B,B,49,11395,3,1406.0,3,4,A,183295.12
133,4218,88,1.0,42.614796,,10.0,13,20.0,2015,0.1273759,B,B,43,8429,3,,3,9,B,221782.0
134,16407,31,1.0,35.46175,19.262117,6.0,2,5.0,1961,0.15134622,B,A,32,5889,10,830.0,4,1,B,183658.92
135,9509,9,2.0,60.900177,57.196915,1.0,2,11.0,1977,0.16153175,B,B,25,5648,1,30.0,2,4,B,166221.47
136,5284,27,4.0,119.91499,78.518875,13.0,8,12.0,2015,0.072157584,B,B,2,629,1,,0,0,A,221374.06
137,15522,21,2.0,52.73715,31.987234,8.0,11,17.0,1993,0.19448927,B,B,47,8004,3,125.0,3,5,B,208896.5
138,15714,5,3.0,61.136024,38.541424,7.0,10,9.0,1976,0.15081754,B,B,16,3433,4,2643.0,4,5,B,298947.3
139,6745,6,1.0,50.7618,,1.0,4,1.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,137820.11
140,9529,1,1.0,41.75375,,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,135630.05
141,3578,11,2.0,46.880512,26.398785,5.0,7,5.0,1966,0.03869299,B,B,28,6533,1,1015.0,2,5,B,189473.47
142,5402,27,4.0,98.64941,100.85591,1.0,3,1.0,2019,0.072157584,B,B,2,629,1,,0,0,A,294689.62
143,15216,53,2.0,59.262417,37.20327,10.0,11,17.0,2016,0.049637258,B,B,34,7759,0,229.0,1,3,B,308901.34
144,13744,163,3.0,71.97241,47.222202,7.0,9,12.0,1991,0.007658515,B,B,35,7077,56,2301.0,3,19,B,415613.56
145,8423,96,1.0,41.888844,22.44723,8.0,10,14.0,1995,0.041116353,B,B,53,14892,4,,1,4,B,174939.53
146,11249,200,3.0,107.53482,63.51612,12.0,6,16.0,1997,0.0,B,B,33,7425,1,,2,5,B,587987.4
147,16007,53,3.0,73.63579,44.882854,7.0,12,12.0,1981,0.049637258,B,B,34,7759,0,229.0,1,3,B,375533.66
148,10703,78,1.0,45.85482,40.11219,10.0,17,24.0,2009,0.09229064,B,B,21,4346,2,165.0,1,2,B,212021.27
149,6962,27,2.0,44.01667,27.889288,5.0,3,5.0,1975,0.21140121,B,B,9,1892,0,,0,1,B,122017.67
150,10626,44,1.0,38.441383,20.450659,9.0,11,12.0,1972,0.036122292,B,B,24,4378,0,1036.0,1,1,B,203275.69
151,12719,53,2.0,57.921932,37.71409,10.0,11,24.0,2019,0.049637258,B,B,34,7759,0,229.0,1,3,B,346494.28
152,12947,53,2.0,56.023342,,0.0,14,0.0,1977,0.049637258,B,B,34,7759,0,229.0,1,3,B,247074.56
153,10529,182,3.0,45.378426,30.6518,6.0,5,4.0,1977,0.2466236,B,B,14,2940,45,,3,6,B,352139.66
154,2043,77,3.0,66.59464,49.46424,6.0,14,12.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,238561.88
155,6556,111,2.0,57.65836,30.790834,9.0,12,21.0,2010,0.09344257,B,B,23,4635,5,3300.0,2,4,B,400989.2
156,12870,2,1.0,35.33495,22.146378,5.0,2,5.0,1968,0.30947912,B,B,35,7715,4,990.0,0,6,B,158806.98
157,7682,9,3.0,79.83044,48.26503,10.0,5,14.0,1993,0.16153175,B,B,25,5648,1,30.0,2,4,B,246800.16
158,9880,27,1.0,48.17596,20.282928,16.0,2,14.0,2011,0.051815435,B,B,5,1227,0,,0,0,B,131073.66
159,13146,74,1.0,46.44971,,0.0,6,0.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,168705.45
160,12868,73,2.0,60.923523,39.4872,7.0,9,16.0,2007,0.042031586,B,B,37,6856,84,1940.0,2,5,B,426593.25
161,6782,45,1.0,2.9543085,5.2572784,1.0,3,1.0,1977,0.19578105,B,B,23,5212,6,,3,2,B,438005.2
162,16418,9,2.0,77.69954,,1.0,4,1.0,1977,0.16153175,B,B,25,5648,1,30.0,2,4,B,228956.2
163,11805,6,1.0,42.730885,,1.0,17,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,129409.39
164,15252,23,1.0,54.429066,,0.0,4,9.0,1977,0.014072961,B,B,2,475,0,,0,0,B,106429.78
165,10005,58,1.0,44.99513,47.483234,0.0,3,2.0,2019,0.43788525,B,B,23,5735,3,1084.0,0,5,B,106866.25
166,2426,0,1.0,33.237858,21.76183,7.0,5,9.0,1971,0.31980935,B,B,25,4756,16,2857.0,5,8,B,162322.78
167,14492,0,2.0,62.962154,37.04324,10.0,10,22.0,2007,0.31980935,B,B,25,4756,16,2857.0,5,8,B,334328.6
168,8378,21,2.0,53.9659,31.079695,8.0,19,17.0,1995,0.034331497,B,B,25,5487,3,,0,4,B,271788.0
169,4427,74,2.0,91.97311,50.89032,14.0,17,23.0,2010,0.371149,B,B,34,7065,1,750.0,2,5,B,383841.94
170,455,70,3.0,72.74561,44.347443,8.0,18,22.0,1982,0.002211665,B,B,39,7614,3,,1,5,A,408096.4
171,10083,1,3.0,85.84934,,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,306428.78
172,11251,22,1.0,38.704697,21.99361,10.0,9,22.0,1991,0.13321534,B,B,49,11395,3,1406.0,3,4,A,215837.94
173,15794,23,3.0,84.1133,,1.0,2,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,187489.95
174,9747,98,1.0,36.61948,20.919622,5.0,5,5.0,1962,0.19578105,B,B,23,5212,6,,3,2,B,165514.75
175,16363,90,2.0,48.31278,31.296186,8.0,13,12.0,1971,0.26508868,B,B,37,5288,0,1937.0,3,2,B,200701.52
176,12361,32,2.0,56.59899,50.89724,6.0,5,12.0,1974,0.13564979,B,B,46,7960,6,350.0,3,11,B,238770.36
177,15286,129,2.0,52.29575,27.716148,10.0,1,16.0,1983,0.4605564,B,B,20,4386,14,,1,5,B,274828.72
178,14798,0,3.0,69.46285,47.85532,7.0,2,9.0,1973,0.006076152,B,B,30,5285,0,645.0,6,6,B,182373.33
179,8974,54,2.0,90.144104,91.796524,1.0,10,9.0,2017,0.006076152,B,B,30,5285,0,645.0,6,6,B,502813.78
180,2136,74,2.0,84.68773,81.90555,0.0,12,17.0,2017,0.07577875,B,B,6,1437,3,,0,2,B,243479.88
181,1958,55,1.0,42.49913,21.164557,10.0,16,22.0,1987,0.041365445,B,B,31,5569,0,,1,4,B,151976.08
182,10541,101,2.0,43.59916,33.841114,4.0,2,5.0,1963,0.22582495,A,B,41,6558,7,1548.0,3,2,B,180026.28
183,2457,138,1.0,34.148186,24.110367,5.0,9,9.0,1962,0.014423114,B,B,19,3806,4,,0,3,B,86647.805
184,13779,66,1.0,56.838642,22.426643,14.0,14,17.0,2003,0.11162739,B,B,50,12238,8,1970.0,2,3,B,338588.25
185,4111,3,2.0,48.379944,30.593075,6.0,6,12.0,1972,0.050900057,B,B,43,10621,1,30.0,2,3,B,183744.95
186,12174,62,1.0,44.95488,,0.0,8,0.0,1977,0.072157584,B,B,2,629,1,,0,0,A,133773.3
187,1536,66,1.0,43.38387,23.842388,8.0,4,19.0,1997,0.11162739,B,B,50,12238,8,1970.0,2,3,B,218638.33
188,2574,159,2.0,43.439365,29.328888,6.0,5,8.0,1935,0.2466236,B,B,14,2940,45,,3,6,B,288674.66
189,5810,8,1.0,43.488873,19.146729,8.0,8,14.0,2009,0.4581745,B,A,26,4439,1,1130.0,1,5,B,203558.8
190,4617,27,1.0,40.787697,24.479649,10.0,8,19.0,2019,0.21140121,B,B,9,1892,0,,0,1,B,96245.516
191,7185,50,2.0,39.572628,26.55794,5.0,7,9.0,1968,0.037316453,B,B,32,6748,93,562.0,4,10,B,242067.73
192,2833,70,1.0,35.794765,21.701365,6.0,9,9.0,1977,0.002211665,B,B,39,7614,3,,1,5,A,155814.34
193,9106,32,3.0,63.6344,48.647835,5.0,11,9.0,1972,0.13564979,B,B,46,7960,6,350.0,3,11,B,325461.16
194,3482,49,2.0,42.842247,23.535358,7.0,9,12.0,1973,0.020741327,B,B,24,5613,5,1340.0,2,5,B,218712.89
195,6265,11,1.0,44.69654,21.427975,8.0,10,12.0,1977,0.000169676,B,B,36,5992,0,,1,1,B,183355.86
196,16499,103,2.0,45.784687,30.481245,5.0,4,11.0,1970,0.014423114,B,B,19,3806,4,,0,3,B,225146.02
197,9781,21,1.0,35.537777,22.064537,5.0,4,5.0,1967,0.19448927,B,B,47,8004,3,125.0,3,5,B,151281.6
198,10508,1,1.0,43.273067,23.269909,8.0,4,14.0,1988,0.025609156,B,B,33,5261,0,240.0,3,1,B,139450.92
199,15415,52,2.0,52.346813,29.588604,8.0,8,14.0,1989,0.371149,B,B,34,7065,1,750.0,2,5,B,198597.31
200,6627,36,3.0,86.59412,54.69527,10.0,7,17.0,2008,0.08761909,B,B,8,1497,5,,1,0,B,85537.734
201,15045,127,1.0,35.551266,15.418166,9.0,3,9.0,1962,0.48624563,B,B,13,2514,19,,0,6,B,150063.03
202,8355,6,1.0,50.347878,,1.0,10,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,137283.78
203,14710,27,2.0,51.316357,,1.0,8,17.0,1977,0.011654127,B,B,4,915,0,,0,0,B,149654.19
204,12177,6,3.0,74.36847,64.769516,1.0,14,17.0,2017,0.24320452,B,B,5,1564,0,540.0,0,0,B,207709.84
205,11760,28,1.0,32.678707,18.580683,5.0,3,5.0,1967,0.33389154,B,B,30,6564,1,,0,0,B,141756.75
206,643,83,3.0,63.86802,40.992302,7.0,4,9.0,1978,0.007720282,B,B,38,4788,2,,0,4,B,280930.7
207,5486,21,1.0,32.70465,19.045511,5.0,6,9.0,1964,0.034331497,B,B,25,5487,3,,0,4,B,181779.72
208,5715,22,1.0,32.198353,19.043846,6.0,4,5.0,1959,0.000995363,B,B,42,7651,1,,1,5,B,139400.1
209,9450,9,1.0,38.460808,19.316223,8.0,5,17.0,1996,0.069753364,B,B,53,13670,4,,1,11,B,176552.02
210,2510,27,1.0,38.73793,24.17812,8.0,14,14.0,2005,0.041116353,B,B,53,14892,4,,1,4,B,182642.36
211,8192,27,3.0,84.274055,50.50538,8.0,7,9.0,1997,0.041116353,B,B,53,14892,4,,1,4,B,291518.53
212,1182,27,1.0,38.936985,3.0643196,0.0,18,19.0,2017,0.21140121,B,B,9,1892,0,,0,1,B,93560.79
213,16266,6,2.0,61.73573,62.898666,0.0,16,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,168514.44
214,12216,1,2.0,67.02996,,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,204406.33
